Exam Q#,Question Type,1. Dimensional Analysis and Stoichiometry  ,2.Gas Laws and Kinetic Molecular Theory,3.Chemical Reactions and Thermodynamics,4.Structure of the Atom,5.Electrons and Quantum Properties,6.Periodic Trends,"7.Bonding, Lewis Structures, and Molecular Shapes",8.Intermolecular Forces and Macroscopic Properties,The number of learning goals present in the question,How many points question was worth,"Reading requires heavy decoding and reading comprehension skills (i.e., students need to make assumptions from the text, question statement is long/complex)",Reading mentions knowledge of advanced chemistry topics,Reading that connects to niche topics,Reading visual data,"Setting up complex algebra expressions, multiple unit conversions/ very involved dimensional analysis","Setting ""scaffold"" for themselves to answer question",Making connections to lab concepts,Reasoning how the chemistry concepts connect to a real-life/hypothetical situation,Connecting answers
1i,MC,,,G,,,,,,,6,,,,,,,,,
1ii,MC,,L,,,,,,,,6,,,,,,,,,
1iii,MC,,,F,,,,,,,6,,,,,,,,,
1iv,MC,,"K,L",,,,,,G,,6,,,,,,,,,
1v,MC,,,,,,,,G,,6,,,,,,,,,
1vi,MC,,,,,,,,"G,H",,6,,,,,,,,,
1vii,MC,,G,,,,,,,,6,,,,,,,,,
1viii,MC,,,,,G,,,,,6,,,,,,,,,
1ix,MC,,,,,"H,J",,,,,6,,,,,,,,,
2a,SA,,,E,,,,,,,7,0,0,0,0,0,0,0,0,0
2b,SA,,"A,D",,,,,,,,15,1,0,0,0,0,1,0,0,0
2c,SA,,,,,,,,"B,C",,20,0,0,0,0,0,0,0,0,0
2d,SA,,M,,,,,,,,11,1,1,0,0,1,1,1,1,0
2e,SA,,,,,D,,J,,,12,0,0,0,0,0,0,0,0,0
2f,SA,,,"B,H",,,,,,,14,0,1,0,1,1,0,0,0,0
3a,SA,,,,,,,"D,J,K",,,11,0,0,0,0,0,0,0,0,0
3b,SA,,,,,,,C,,,6,0,0,0,0,0,0,0,0,1
3c,SA,,,,,,,I,,,8,0,0,0,0,0,0,0,0,0
4a,SA,,,,,,,"C,D",,,12,0,0,0,0,0,0,0,0,0
4b,SA,,,,,,,"C,D",,,9,0,1,0,0,0,0,0,0,0
4c,SA,,,H,,,,,,,9,0,1,0,0,0,0,0,0,0
4d,SA,,,C,,,,,,,8,0,1,0,0,0,0,0,0,1
5a,SA,,,,,,C,,,,10,0,0,0,0,0,0,0,0,0
5b,SA,,,,,,"B,C",,,,6,0,0,0,0,0,0,0,0,0
5c,SA,,,,,,"B,C",,,,8,0,0,0,0,0,0,0,0,0
6a,SA,,,,,,,"C, D",,,10,0,1,0,0,0,0,0,0,0
6b,SA,,,,,,,"C, D",,,9,0,1,0,0,0,0,0,0,0
6c,SA,,,,,,,"C,D",,,9,0,1,0,0,0,0,0,0,0
6d,SA,,,,,,,H,,,2,0,0,0,0,0,0,0,0,1
6e,SA,,,,,,,"D, J",,,8,0,0,0,0,0,0,0,0,1
6f,SA,,,,,,,E,,,4,0,0,0,0,0,0,0,0,1
7a,SA,,O,,,,,,,,4,0,0,0,1,0,0,0,0,0
7b,SA,,P,,,,,,,,4,0,0,0,1,0,0,0,0,0
7c,SA,,,,E,,,,,,4,0,0,0,1,0,0,0,0,0
7d,SA,,J,,,,,,,,4,0,0,0,1,0,0,0,0,0
7e,SA,,N,,,,,,,,6,0,0,0,1,0,0,0,0,0
8a,SA,E,,,,,,,,,20,1,0,1,0,1,1,0,0,0
8b,SA,"A,B,H",,,,,,,,,10,0,0,1,0,1,1,0,1,1
9a,SA,,,J,,,,,,,12,1,0,0,0,0,1,0,0,0
9b,SA,E,A,F,,,,,,,31,1,0,0,0,1,1,0,0,0
10a,SA,,,"C,D",,,,,,,10,1,0,0,0,0,0,0,1,0
10b,SA,,,I,,,,,,,33,1,0,0,0,1,1,0,0,0
