Chapter Name (Topic),Chapter Number ,Subchapter Name (Subtopic),Subchapter Number,Subchapter Learning Objectives
Units and Measurement,1,The Scope and Scale of Physics,1.1,"Describe the scope of physics.
Calculate the order of magnitude of a quantity.
Compare measurable length, mass, and timescales quantitatively.
Describe the relationships among models, theories, and laws."
Units and Measurement,1,Units and Standards,1.2,"Describe how SI base units are defined.
Describe how derived units are created from base units.
Express quantities given in SI units using metric prefixes."
Units and Measurement,1,Unit Conversion,1.3,Use conversion factors to express the value of a given quantity in different units.
Units and Measurement,1,Dimensional Analysis,1.4,"Find the dimensions of a mathematical expression involving physical quantities.
Determine whether an equation involving physical quantities is dimensionally consistent."
Units and Measurement,1,Estimates and Fermi Calculations,1.5,Estimate the values of physical quantities.
Units and Measurement,1,Significant Figures,1.6,"Determine the correct number of significant figures for the result of a computation.
Describe the relationship between the concepts of accuracy, precision, uncertainty, and discrepancy.
Calculate the percent uncertainty of a measurement, given its value and its uncertainty.
Determine the uncertainty of the result of a computation involving quantities with given uncertainties."
Units and Measurement,1,Solving Problems in Physics,1.7,"Describe the process for developing a problem-solving strategy.
Explain how to find the numerical solution to a problem.
Summarize the process for assessing the significance of the numerical solution to a problem."
Vectors,2,Scalars and Vectors,2.1,"Describe the difference between vector and scalar quantities.
Identify the magnitude and direction of a vector.
Explain the effect of multiplying a vector quantity by a scalar.
Describe how one-dimensional vector quantities are added or subtracted.
Explain the geometric construction for the addition or subtraction of vectors in a plane.
Distinguish between a vector equation and a scalar equation."
Vectors,2,Coordinate Systems and Components of a Vector,2.2,"Describe vectors in two and three dimensions in terms of their components, using unit vectors along the axes.
Distinguish between the vector components of a vector and the scalar components of a vector.
Explain how the magnitude of a vector is defined in terms of the components of a vector.
Identify the direction angle of a vector in a plane.
Explain the connection between polar coordinates and Cartesian coordinates in a plane."
Vectors,2,Algebra of Vectors,2.3,"Apply analytical methods of vector algebra to find resultant vectors and to solve vector equations for unknown vectors.
Interpret physical situations in terms of vector expressions."
Vectors,2,Products of Vectors,2.4,"Explain the difference between the scalar product and the vector product of two vectors.
Determine the scalar product of two vectors.
Determine the vector product of two vectors.
Describe how the products of vectors are used in physics."
Motion Along a Straight Line,3,"Position, Displacement, and Average Velocity",3.1,"Define position, displacement, and distance traveled.
Calculate the total displacement given the position as a function of time.
Determine the total distance traveled.
Calculate the average velocity given the displacement and elapsed time."
Motion Along a Straight Line,3,Instantaneous Velocity and Speed,3.2,"Explain the difference between average velocity and instantaneous velocity.
Describe the difference between velocity and speed.
Calculate the instantaneous velocity given the mathematical equation for the velocity.
Calculate the speed given the instantaneous velocity."
Motion Along a Straight Line,3,Average and Instantaneous Acceleration,3.3,"Calculate the average acceleration between two points in time.
Calculate the instantaneous acceleration given the functional form of velocity.
Explain the vector nature of instantaneous acceleration and velocity.
Explain the difference between average acceleration and instantaneous acceleration.
Find instantaneous acceleration at a specified time on a graph of velocity versus time."
Motion Along a Straight Line,3,Motion with Constant Acceleration,3.4,"Identify which equations of motion are to be used to solve for unknowns.
Use appropriate equations of motion to solve a two-body pursuit problem."
Motion Along a Straight Line,3,Free Fall,3.5,"Use the kinematic equations with the variables y and g to analyze free-fall motion.
Describe how the values of the position, velocity, and acceleration change during a free fall.
Solve for the position, velocity, and acceleration as functions of time when an object is in a free fall."
Motion Along a Straight Line,3,Finding Velocity and Displacement from Acceleration,3.6,"Derive the kinematic equations for constant acceleration using integral calculus.
Use the integral formulation of the kinematic equations in analyzing motion.
Find the functional form of velocity versus time given the acceleration function.
Find the functional form of position versus time given the velocity function."
Motion in Two and Three Dimensions,4,Displacement and Velocity Vectors,4.1,"Calculate position vectors in a multidimensional displacement problem.
Solve for the displacement in two or three dimensions.
Calculate the velocity vector given the position vector as a function of time.
Calculate the average velocity in multiple dimensions."
Motion in Two and Three Dimensions,4,Acceleration Vector,4.2,"Calculate the acceleration vector given the velocity function in unit vector notation.
Describe the motion of a particle with a constant acceleration in three dimensions.
Use the one-dimensional motion equations along perpendicular axes to solve a problem in two or three dimensions with a constant acceleration.
Express the acceleration in unit vector notation."
Motion in Two and Three Dimensions,4,Projectile Motion,4.3,"Use one-dimensional motion in perpendicular directions to analyze projectile motion.
Calculate the range, time of flight, and maximum height of a projectile that is launched and impacts a flat, horizontal surface.
Find the time of flight and impact velocity of a projectile that lands at a different height from that of launch.
Calculate the trajectory of a projectile."
Motion in Two and Three Dimensions,4,Uniform Circular Motion,4.4,"Solve for the centripetal acceleration of an object moving on a circular path.
Use the equations of circular motion to find the position, velocity, and acceleration of a particle executing circular motion.
Explain the differences between centripetal acceleration and tangential acceleration resulting from nonuniform circular motion.
Evaluate centripetal and tangential acceleration in nonuniform circular motion, and find the total acceleration vector."
Motion in Two and Three Dimensions,4,Relative Motion in One and Two Dimensions,4.5,"Explain the concept of reference frames.
Write the position and velocity vector equations for relative motion.
Draw the position and velocity vectors for relative motion.
Analyze one-dimensional and two-dimensional relative motion problems using the position and velocity vector equations."
Newton's Laws of Motion,5,Forces,5.1,"Distinguish between kinematics and dynamics
Understand the definition of force
Identify simple free-body diagrams
Define the SI unit of force, the newton
Describe force as a vector"
Newton's Laws of Motion,5,Newton's First Law,5.2,"Describe Newton's first law of motion
Recognize friction as an external force
Define inertia
Identify inertial reference frames
Calculate equilibrium for a system"
Newton's Laws of Motion,5,Newton's Second Law,5.3,"Distinguish between external and internal forces
Describe Newton's second law of motion
Explain the dependence of acceleration on net force and mass"
Newton's Laws of Motion,5,Mass and Weight,5.4,"Explain the difference between mass and weight
Explain why falling objects on Earth are never truly in free fall
Describe the concept of weightlessness"
Newton's Laws of Motion,5,Newton’s Third Law,5.5,"State Newton’s third law of motion
Identify the action and reaction forces in different situations
Apply Newton’s third law to define systems and solve problems of motion"
Newton's Laws of Motion,5,Common Forces,5.6,"Define normal and tension forces
Distinguish between real and fictitious forces
Apply Newton’s laws of motion to solve problems involving a variety of forces"
